system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
30_288,0,1,0.0,-10.225298300311481,3.0,0.0,0.0,1.0,-43.176670731684894,4.0,4.0,2015,2,"{""type"":""Point"",""coordinates"":[-43.176670731684894,-10.225298300311481]}"
30_289,0,5,4.0,-18.215004268798914,0.0,4.0,4.0,0.0,-55.79791064203578,4.0,4.0,2015,1,"{""type"":""Point"",""coordinates"":[-55.79791064203578,-18.215004268798914]}"
30_291,0,1,1.0,-2.320752620758576,0.0,1.0,1.0,0.0,-56.29674511930735,7.0,1.0,2015,2,"{""type"":""Point"",""coordinates"":[-56.29674511930735,-2.320752620758576]}"
30_292,0,3,0.0,-7.321224649809892,0.0,0.0,0.0,0.0,-55.169718763850994,8.0,0.0,2015,1,"{""type"":""Point"",""coordinates"":[-55.169718763850994,-7.321224649809892]}"
30_294,0,1,1.0,-2.285718324677915,0.0,1.0,1.0,0.0,-46.4866032275517,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-46.4866032275517,-2.285718324677915]}"
30_295,0,3,2.0,-12.94854108411981,0.0,2.0,2.0,0.0,-42.6918499728456,6.0,2.0,2015,1,"{""type"":""Point"",""coordinates"":[-42.6918499728456,-12.94854108411981]}"
30_296,0,1,1.0,-13.373534045036758,0.0,1.0,1.0,0.0,-48.83120611910365,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-48.83120611910365,-13.373534045036758]}"
30_299,0,1,6.0,-4.794443418638502,0.0,6.0,6.0,0.0,-38.80654653750026,2.0,6.0,2015,3,"{""type"":""Point"",""coordinates"":[-38.80654653750026,-4.794443418638502]}"
30_301,0,1,7.0,-2.9093287949136863,0.0,7.0,7.0,0.0,-54.33051262542654,1.0,7.0,2015,3,"{""type"":""Point"",""coordinates"":[-54.33051262542654,-2.9093287949136863]}"
30_303,0,1,1.0,-6.634282952043692,0.0,1.0,1.0,0.0,-47.08299474467864,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-47.08299474467864,-6.634282952043692]}"
30_304,0,1,3.0,-8.068263640083686,0.0,3.0,3.0,0.0,-36.372201949064774,5.0,3.0,2015,3,"{""type"":""Point"",""coordinates"":[-36.372201949064774,-8.068263640083686]}"
30_306,0,1,1.0,-7.735437827317402,0.0,1.0,1.0,0.0,-46.36074925624655,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-46.36074925624655,-7.735437827317402]}"
30_307,0,3,2.0,-19.285706255940973,0.0,2.0,2.0,0.0,-46.68063932892153,6.0,2.0,2015,1,"{""type"":""Point"",""coordinates"":[-46.68063932892153,-19.285706255940973]}"
30_308,0,1,2.0,-3.320308037398367,0.0,2.0,2.0,0.0,-41.865849069097706,6.0,2.0,2015,3,"{""type"":""Point"",""coordinates"":[-41.865849069097706,-3.320308037398367]}"
30_309,0,1,7.0,0.6401843872277784,0.0,7.0,7.0,0.0,-63.50168285558796,1.0,7.0,2015,3,"{""type"":""Point"",""coordinates"":[-63.50168285558796,0.6401843872277784]}"
30_310,0,3,1.0,-16.97640715505492,0.0,1.0,1.0,0.0,-53.21642201006152,7.0,1.0,2015,1,"{""type"":""Point"",""coordinates"":[-53.21642201006152,-16.97640715505492]}"
30_312,0,1,1.0,2.8891167010210004,1.0,1.0,1.0,0.0,-61.488019314705646,6.0,2.0,2015,5,"{""type"":""Point"",""coordinates"":[-61.488019314705646,2.8891167010210004]}"
30_318,0,1,5.0,-3.2548208531860547,0.0,5.0,5.0,0.0,-54.030295657473786,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-54.030295657473786,-3.2548208531860547]}"
30_319,0,1,3.0,-3.399808940042944,0.0,3.0,3.0,0.0,-53.60557219114208,5.0,3.0,2015,3,"{""type"":""Point"",""coordinates"":[-53.60557219114208,-3.399808940042944]}"
30_321,0,3,1.0,-10.802555701886686,0.0,1.0,1.0,0.0,-44.07651315178743,7.0,1.0,2015,2,"{""type"":""Point"",""coordinates"":[-44.07651315178743,-10.802555701886686]}"
30_322,0,1,8.0,-4.474283851378304,0.0,8.0,8.0,0.0,-62.27736895486146,0.0,8.0,2015,3,"{""type"":""Point"",""coordinates"":[-62.27736895486146,-4.474283851378304]}"
30_327,0,1,5.0,-3.60624179233361,0.0,5.0,5.0,0.0,-61.56374729315692,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-61.56374729315692,-3.60624179233361]}"
30_329,0,1,2.0,0.4146174193853671,0.0,2.0,2.0,0.0,-60.64072833872411,6.0,2.0,2015,3,"{""type"":""Point"",""coordinates"":[-60.64072833872411,0.4146174193853671]}"
30_331,0,2,0.0,-20.235405174312127,0.0,0.0,0.0,0.0,-46.285290772380506,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-46.285290772380506,-20.235405174312127]}"
30_333,0,1,1.0,-17.57845805847182,0.0,1.0,1.0,0.0,-52.96794800247405,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-52.96794800247405,-17.57845805847182]}"
30_334,0,1,6.0,-14.620485490923064,0.0,6.0,6.0,0.0,-51.24129619486793,2.0,6.0,2015,3,"{""type"":""Point"",""coordinates"":[-51.24129619486793,-14.620485490923064]}"
30_335,0,5,0.0,1.0961692254468476,0.0,0.0,0.0,8.0,-67.66591318665242,0.0,8.0,2015,2,"{""type"":""Point"",""coordinates"":[-67.66591318665242,1.0961692254468476]}"
30_336,0,3,2.0,-16.427985674099947,0.0,2.0,2.0,0.0,-48.092251966386925,6.0,2.0,2015,1,"{""type"":""Point"",""coordinates"":[-48.092251966386925,-16.427985674099947]}"
30_337,0,5,2.0,-6.7614843962750175,2.0,2.0,2.0,0.0,-62.43906570600298,4.0,4.0,2015,1,"{""type"":""Point"",""coordinates"":[-62.43906570600298,-6.7614843962750175]}"
30_338,0,1,7.0,0.6288656146478724,0.0,7.0,7.0,0.0,-63.51461859567928,1.0,7.0,2015,3,"{""type"":""Point"",""coordinates"":[-63.51461859567928,0.6288656146478724]}"
30_339,0,3,0.0,-17.115196866451384,0.0,0.0,0.0,0.0,-49.13708247334635,8.0,0.0,2015,1,"{""type"":""Point"",""coordinates"":[-49.13708247334635,-17.115196866451384]}"
