system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
17_1219,1,1,8.0,-8.609139272652051,0.0,8.0,8.0,0.0,-44.36002145545555,0.0,8.0,2002,2,"{""type"":""Point"",""coordinates"":[-44.36002145545555,-8.609139272652051]}"
17_1240,1,1,6.0,-16.888282425682792,0.0,6.0,6.0,0.0,-47.91708048598362,2.0,6.0,2002,3,"{""type"":""Point"",""coordinates"":[-47.91708048598362,-16.888282425682792]}"
17_1250,1,2,5.0,-10.232305159527613,1.0,5.0,5.0,1.0,-39.986124337077605,1.0,7.0,2002,1,"{""type"":""Point"",""coordinates"":[-39.986124337077605,-10.232305159527613]}"
17_1277,1,1,8.0,-8.635010752834692,0.0,8.0,8.0,0.0,-55.049524178835796,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-55.049524178835796,-8.635010752834692]}"
17_1283,0,3,0.0,-14.466604082753387,0.0,0.0,0.0,0.0,-52.71624005986375,8.0,0.0,2002,1,"{""type"":""Point"",""coordinates"":[-52.71624005986375,-14.466604082753387]}"
17_1301,1,1,2.0,-9.061351186677818,0.0,2.0,2.0,0.0,-50.9758440284106,6.0,2.0,2002,3,"{""type"":""Point"",""coordinates"":[-50.9758440284106,-9.061351186677818]}"
17_1318,1,1,8.0,-12.041961299386385,0.0,8.0,8.0,0.0,-56.43257039026621,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-56.43257039026621,-12.041961299386385]}"
17_1336,1,1,1.0,-3.3251589399326127,0.0,2.0,1.0,0.0,-59.25094476266279,6.0,2.0,2002,2,"{""type"":""Point"",""coordinates"":[-59.25094476266279,-3.3251589399326127]}"
17_1397,1,1,8.0,-12.794659675950134,0.0,8.0,8.0,0.0,-52.165932116812144,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-52.165932116812144,-12.794659675950134]}"
17_1452,1,1,5.0,-5.975368691142024,0.0,5.0,5.0,0.0,-47.917619475154105,3.0,5.0,2002,3,"{""type"":""Point"",""coordinates"":[-47.917619475154105,-5.975368691142024]}"
17_1462,1,3,7.0,-28.11165392241527,0.0,7.0,7.0,0.0,-48.935231029004676,1.0,7.0,2002,1,"{""type"":""Point"",""coordinates"":[-48.935231029004676,-28.11165392241527]}"
17_1477,1,2,4.0,-12.103406064820163,0.0,4.0,4.0,0.0,-49.99730918941921,4.0,4.0,2002,3,"{""type"":""Point"",""coordinates"":[-49.99730918941921,-12.103406064820163]}"
17_1483,1,1,8.0,-16.00730462654678,0.0,8.0,8.0,0.0,-59.97884963738486,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-59.97884963738486,-16.00730462654678]}"
17_1488,1,1,3.0,-3.6205250053511113,0.0,3.0,3.0,0.0,-61.218524729469785,5.0,3.0,2002,3,"{""type"":""Point"",""coordinates"":[-61.218524729469785,-3.6205250053511113]}"
18_1,1,3,2.0,-4.385350638250471,0.0,3.0,2.0,0.0,-59.857307579443464,5.0,3.0,2003,1,"{""type"":""Point"",""coordinates"":[-59.857307579443464,-4.385350638250471]}"
18_89,1,1,2.0,1.7302899845068185,0.0,2.0,2.0,0.0,-60.475258663389305,6.0,2.0,2003,3,"{""type"":""Point"",""coordinates"":[-60.475258663389305,1.7302899845068185]}"
18_104,1,3,1.0,-11.680299565999867,0.0,3.0,1.0,0.0,-47.05146387820604,5.0,3.0,2003,1,"{""type"":""Point"",""coordinates"":[-47.05146387820604,-11.680299565999867]}"
18_116,1,3,6.0,-5.78780045981787,0.0,6.0,6.0,0.0,-39.148535166164564,2.0,6.0,2003,1,"{""type"":""Point"",""coordinates"":[-39.148535166164564,-5.78780045981787]}"
